"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"706",4652209,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"707",4656661,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"708",4660908,1615,"Övriga brott mot 16 kap. BrB","2023-07-24","2023-07-24","Malmö","Skåne Län","1280C2920",1
"709",4660913,1615,"Övriga brott mot 16 kap. BrB","2023-07-24","2023-07-24","Malmö","Skåne Län","1280C2920",1
"710",4669054,1615,"Övriga brott mot 16 kap. BrB","2023-07-16","2023-07-16","Borås","Västra Götalands Län","1490C1520",1
"711",4676858,1615,"Övriga brott mot 16 kap. BrB","2023-06-19","2023-06-19","Malmö","Skåne Län","1280C2920",1
"712",4697266,1615,"Övriga brott mot 16 kap. BrB","2023-06-22","2023-06-22","Staffanstorp","Skåne Län","1230C1010",1
"713",4697694,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"714",4703484,1615,"Övriga brott mot 16 kap. BrB","2023-07-23","2023-07-23","Solna","Stockholms Län","0184C1310",1
"715",4717554,1615,"Övriga brott mot 16 kap. BrB","2023-06-02","2023-06-02","Göteborg","Västra Götalands Län","1480C2330",1
"716",4726169,1615,"Övriga brott mot 16 kap. BrB","2023-08-02","2023-08-02","Södertälje","Stockholms Län","0181C1040",1
"717",4729905,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"718",4747835,1615,"Övriga brott mot 16 kap. BrB","2023-07-24","2023-07-24","Malmö","Skåne Län","1280C2920",1
"719",4753117,1615,"Övriga brott mot 16 kap. BrB","2023-08-02","2023-08-02","Södertälje","Stockholms Län","0181C1040",1
"720",4755462,1615,"Övriga brott mot 16 kap. BrB","2023-08-03","2023-08-03","Stockholm","Stockholms Län","0180C6310",1
"721",4761217,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
