"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1281",729666,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-09-06","2019-09-06","Simrishamn","Skåne Län","",1
"1282",731348,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-09-18","2019-08-31","","Stockholms Län","",1
"1283",731745,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-02","2019-10-02","Tierp","Uppsala Län","",1
"1284",732428,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-31","2019-08-31","Stockholm","Stockholms Län","",1
"1285",735296,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-08-29","2019-08-29","Luleå","Norrbottens Län","",1
"1286",736953,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-09-05","2019-09-04","Nacka","Stockholms Län","",1
"1287",743541,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-09-08","2019-09-08","Örnsköldsvik","Västernorrlands Län","",1
"1288",755470,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-02","2019-11-01","Kungsbacka","Hallands Län","",1
"1289",756813,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-02","2019-11-02","Mora","Dalarnas Län","",1
"1290",760395,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-08","2019-10-08","Stockholm","Stockholms Län","",1
"1291",760533,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-09","2019-10-09","Mönsterås","Kalmar Län","",1
"1292",760783,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-05","2019-10-05","Norrköping","Östergötlands Län","",1
"1293",760804,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-05","2019-10-05","Stockholm","Stockholms Län","",1
"1294",760911,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-03","2019-10-03","","Västerbottens Län","",1
"1295",760959,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-16","2019-10-15","Solna","Stockholms Län","",1
"1296",760974,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-20","Göteborg","Västra Götalands Län","",1
"1297",761995,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-05","2019-10-05","Piteå","Norrbottens Län","",1
"1298",764134,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-16","2019-10-16","","Stockholms Län","",1
"1299",765933,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-17","2019-10-17","Falkenberg","Hallands Län","",1
"1300",770984,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-06","2019-10-06","Sundsvall","Västernorrlands Län","",1
"1301",770986,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-06","2019-10-06","Sundsvall","Västernorrlands Län","",1
"1302",770989,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-06","2019-10-06","Sundsvall","Västernorrlands Län","",1
"1303",775023,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-20","Håbo","Uppsala Län","",1
"1304",775024,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-20","Håbo","Uppsala Län","",1
"1305",775027,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-20","Håbo","Uppsala Län","",1
"1306",775060,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-30","2019-10-30","Enköping","Uppsala Län","",1
"1307",776426,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-02","2019-11-02","Linköping","Östergötlands Län","",1
"1308",776427,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-02","2019-11-02","Linköping","Östergötlands Län","",1
"1309",777530,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-07","2019-11-07","Upplands Väsby","Stockholms Län","",1
"1310",779094,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-06","2019-11-06","Salem","Stockholms Län","",1
"1311",779343,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-04","2019-10-04","Gotland","Gotlands Län","",1
