"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"8648",3857108,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-30","2022-09-30","Stockholm","Stockholms Län","0180C2340",1
"8649",3857181,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-03","2022-09-03","Stockholm","Stockholms Län","0180C2470",1
"8650",3859465,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-18","2022-09-17","Boden","Norrbottens Län","2582A0020",1
"8651",3860401,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-18","2022-09-17","Köping","Västmanlands Län","1983B2010",1
"8652",3860986,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-30","2022-09-30","Trelleborg","Skåne Län","1287C1110",1
"8653",3861727,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-24","2022-09-24","Stockholm","Stockholms Län","0180C6400",1
"8654",3862298,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-10","2022-09-10","Örebro","Örebro Län","1880C1180",1
"8655",3862374,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-12","2022-09-12","Katrineholm","Södermanlands Län","0483C1050",1
"8656",3862892,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-30","2022-09-30","Halmstad","Hallands Län","1380A0070",1
"8657",3863426,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-16","2022-09-16","Huddinge","Stockholms Län","0126C1050",1
"8658",3863861,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-13","2022-09-12","Uppsala","Uppsala Län","0380C1470",1
"8659",3863894,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-26","2022-09-25","Söderköping","Östergötlands Län","0582C1010",1
"8660",3863909,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-29","2022-09-27","Huddinge","Stockholms Län","0126C1190",1
"8661",3865032,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-26","2022-09-25","Östersund","Jämtlands Län","2380C1190",1
"8662",3866287,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-20","2022-09-20","Eskilstuna","Södermanlands Län","0484C1460",1
"8663",3866485,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-03","2022-09-03","Östersund","Jämtlands Län","2380C1280",1
"8664",3866751,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-12","2022-09-12","Malmö","Skåne Län","1280C1350",1
"8665",3868269,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-09-29","2017-03-30","Jokkmokk","Norrbottens Län","2510C1010",1
"8666",3869628,1211,"Skadegörelse, bilbrand eller brand på annat motorfordon (ej mordbrand, 1301)","2022-08-30","2022-08-29","Stockholm","Stockholms Län","0180C1680",1
