"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"14353",4947314,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-17","2023-10-17","Landskrona","Skåne Län","1282C1060",1
"14354",4947434,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-25","2023-10-25","Karlskrona","Blekinge Län","1080B2020",1
"14355",4947469,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-30","2023-09-30","Huddinge","Stockholms Län","0126C1420",1
"14356",4948299,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-24","2023-09-23","Värnamo","Jönköpings Län","0683A0030",1
"14357",4948578,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-26","2023-10-17","Nacka","Stockholms Län","0182C1120",1
"14358",4949433,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-08","2023-10-07","Svedala","Skåne Län","1263B2020",1
"14359",4949531,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-21","2023-10-20","Ödeshög","Östergötlands Län","0509C1010",1
"14360",4949810,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-16","2023-10-13","Stockholm","Stockholms Län","0180C3650",1
"14361",4950021,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-26","2023-10-25","Enköping","Uppsala Län","0381A0050",1
"14362",4950759,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-12","2023-10-11","Nässjö","Jönköpings Län","0682C1080",1
"14363",4950881,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-29","2023-10-29","Norrköping","Östergötlands Län","0581C1560",1
"14364",4951133,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-10","2023-10-09","Mjölby","Östergötlands Län","0586C1040",1
"14365",4951346,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-05","2023-10-04","Örebro","Örebro Län","1880A0110",1
"14366",4952007,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-18","2023-10-18","Ljungby","Kronobergs Län","0781C1040",1
"14367",4952127,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-13","2023-10-12","Klippan","Skåne Län","1276C1030",1
"14368",4952480,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-21","2023-10-21","Nykvarn","Stockholms Län","0140A0020",1
"14369",4953197,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-02","2023-10-02","Norrköping","Östergötlands Län","0581A0030",1
"14370",4953349,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-18","2023-08-08","Bjuv","Skåne Län","1260C1020",1
"14371",4953601,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-13","2023-10-12","Nacka","Stockholms Län","0182C1120",1
"14372",4953841,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-27","2023-09-26","Karlskrona","Blekinge Län","",1
"14373",4953950,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-13","2023-10-12","Ljungby","Kronobergs Län","0781A0020",1
"14374",4954239,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-16","2023-10-15","Hallstahammar","Västmanlands Län","1961C1010",1
"14375",4954324,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-02","2023-10-02","Bollnäs","Gävleborgs Län","2183B3010",1
"14376",4954919,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-22","2023-10-22","Borlänge","Dalarnas Län","2081C1150",1
"14377",4955008,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-27","2023-10-27","Karlstad","Värmlands Län","1780C1030",1
"14378",4955679,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-26","2023-10-08","Nacka","Stockholms Län","0182C1150",1
"14379",4955728,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-16","2023-10-14","Sölvesborg","Blekinge Län","1083B2010",1
"14380",4956603,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-27","2023-09-23","Hässleholm","Skåne Län","1293B2010",1
"14381",4957569,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-03","2023-09-26","Göteborg","Västra Götalands Län","1480C3880",1
"14382",4957752,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-23","2023-10-22","Trelleborg","Skåne Län","1287C1180",1
"14383",4957825,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-15","2023-10-05","Säffle","Värmlands Län","1785C1010",1
"14384",4958186,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-26","2023-10-26","Svedala","Skåne Län","1263C1030",1
"14385",4958429,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-17","2023-10-17","Flen","Södermanlands Län","0482C1020",1
"14386",4958661,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-11","2023-10-11","Piteå","Norrbottens Län","2581C1120",1
"14387",4959059,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-20","2023-10-20","Örebro","Örebro Län","1880C1530",1
"14388",4959680,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-06","2023-10-05","Eslöv","Skåne Län","1285A0040",1
"14389",4959716,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-19","2023-10-18","Halmstad","Hallands Län","1380B2020",1
"14390",4960216,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-02","2023-09-24","Gävle","Gävleborgs Län","2180C1060",1
"14391",4960742,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-08","2023-10-08","Säffle","Värmlands Län","1785C1010",1
"14392",4960796,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-25","2023-09-26","","","",1
"14393",4961045,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-24","2023-10-22","Oskarshamn","Kalmar Län","0882C1020",1
"14394",4961523,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-10-09","2023-08-09","Borås","Västra Götalands Län","1490C1170",1
