"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"524",1814840,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-13","2020-09-13","Östra Göinge","Skåne Län","1256A0010",1
"525",1818763,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-03","2020-09-02","Trollhättan","Västra Götalands Län","1488C1070",1
"526",1818883,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-23","2020-09-23","Huddinge","Stockholms Län","0126C1130",1
"527",1822280,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-05","2020-09-29","Göteborg","Västra Götalands Län","1480A0010",1
"528",1822518,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-15","2020-09-11","Karlskrona","Blekinge Län","1080B2020",1
"529",1823750,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-24","2020-09-24","Uppsala","Uppsala Län","0380C1110",1
"530",1823862,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-01","2020-10-01","Göteborg","Västra Götalands Län","1480C3290",1
"531",1826725,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-25","2020-09-25","Upplands-Bro","Stockholms Län","0139B2020",1
"532",1827772,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-30","2020-09-30","Kristinehamn","Värmlands Län","1781C1080",1
"533",1829124,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-13","2020-09-12","Sollentuna","Stockholms Län","0163C1120",1
"534",1834201,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-03","2020-09-03","Falkenberg","Hallands Län","1382C1140",1
"535",1834564,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-07","2020-09-07","Göteborg","Västra Götalands Län","1480C3560",1
"536",1834915,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-14","2020-09-14","Nacka","Stockholms Län","0182C1440",1
"537",1835330,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-09","2020-10-09","Täby","Stockholms Län","0160C1270",1
"538",1835539,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-30","2020-09-30","Eskilstuna","Södermanlands Län","0484C1200",1
"539",1837083,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-04","2020-09-20","Nässjö","Jönköpings Län","0682C1030",1
"540",1837422,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-01","2020-10-01","Linköping","Östergötlands Län","0580C1230",1
"541",1838356,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-04","2020-09-04","Huddinge","Stockholms Län","0126C1020",1
"542",1847382,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-28","2020-09-28","Kalmar","Kalmar Län","0880C1220",1
"543",1850417,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-07","2020-09-03","Trollhättan","Västra Götalands Län","1488C1050",1
"544",1850449,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-21","2020-06-02","Borås","Västra Götalands Län","1490C1350",1
"545",1857632,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-26","2020-09-26","Västervik","Kalmar Län","0883A0050",1
"546",1858318,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-25","2020-09-25","Stockholm","Stockholms Län","0180C5340",1
"547",1863434,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-24","2020-09-24","Norrköping","Östergötlands Län","0581C1300",1
"548",1863771,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-02","2020-08-29","Malmö","Skåne Län","1280C1880",1
"549",1870345,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-30","2020-09-30","Botkyrka","Stockholms Län","0127C1090",1
"550",1871276,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-02","2020-08-28","Malmö","Skåne Län","1280C1880",1
"551",1873139,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-05","2020-09-05","Kristinehamn","Värmlands Län","1781C1010",1
"552",1878127,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-22","2020-09-21","Tyresö","Stockholms Län","0138C1120",1
"553",1880828,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-09-28","2020-09-28","Norrköping","Östergötlands Län","0581C1130",1
"554",1884353,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-29","2020-10-29","Malmö","Skåne Län","1280C1980",1
"555",1885476,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-27","2020-10-27","Malmö","Skåne Län","1280C1880",1
"556",1885899,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-22","2020-10-22","Malmö","Skåne Län","1280C1760",1
"557",1885900,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-22","2020-10-22","Malmö","Skåne Län","1280C1760",1
"558",1885901,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-22","2020-10-22","Malmö","Skåne Län","1280C1760",1
"559",1890118,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-10","2020-10-10","Järfälla","Stockholms Län","0123C1250",1
"560",1893767,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","1280C2800",1
"561",1894894,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","",1
"562",1895852,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-21","2020-10-21","Norrköping","Östergötlands Län","0581C1070",1
"563",1897034,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-28","2020-10-28","Malmö","Skåne Län","1280C1600",1
"564",1897035,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-28","2020-10-28","Malmö","Skåne Län","1280C1600",1
