"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1",1185,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2021-07-11","2021-07-11","Ljusnarsberg","Örebro Län","1864A0010",1
"2",1782,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2021-11-16","2021-11-16","Huddinge","Stockholms Län","0126C1510",1
"3",1800,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2021-11-13","2021-11-13","Stockholm","Stockholms Län","0180C2150",1
"4",2679,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-03-06","2022-03-06","Öckerö","Västra Götalands Län","1407C1040",1
"5",3428,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-04-14","2022-04-14","Norrköping","Östergötlands Län","0581C1030",1
"6",3851,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-14","2022-04-15","Örebro","Örebro Län","1880C1220",1
"7",3995,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-14","2022-04-15","Örebro","Örebro Län","1880C1220",1
"8",4014,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-11","2022-04-15","Örebro","Örebro Län","1880C1220",1
"9",4015,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-11","2022-04-15","Örebro","Örebro Län","1880C1220",1
"10",4185,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-08","2022-04-15","Örebro","Örebro Län","1880C1220",1
"11",4330,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-14","2022-04-15","Örebro","Örebro Län","1880C1220",1
"12",4358,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-27","2022-04-15","Örebro","Örebro Län","1880C1220",1
"13",4432,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-05-23","2022-04-15","Örebro","Örebro Län","1880C1220",1
"14",4912,1702,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen är arbetsoförmögen under ett dygn eller längre tid.","2022-06-13","2022-04-15","Örebro","Örebro Län","1880C1220",1
